Date,Open,High,Low,Close
21-09-2012,25.086071,25.18107,24.977142,25.003214
24-09-2012,24.530714,24.825714,24.392857,24.67107
25-09-2012,24.580713,24.742144,24.035713,24.055
26-09-2012,23.883572,24.024643,23.614286,23.75643
27-09-2012,23.724644,24.363214,23.583929,24.332857
28-09-2012,24.241072,24.325357,23.8125,23.825001
01-10-2012,23.969999,24.169643,23.446428,23.549643
02-10-2012,23.63607,23.798214,23.237499,23.618214
03-10-2012,23.745001,23.995001,23.665358,23.980356
04-10-2012,23.973213,24.080357,23.769644,23.814285
05-10-2012,23.757143,23.785713,23.26,23.306786
08-10-2012,23.102858,23.127144,22.718214,22.791786
09-10-2012,22.808929,22.874643,22.269644,22.708929
10-10-2012,22.847857,23.035,22.75,22.889643
11-10-2012,23.089287,23.114286,22.432142,22.432142
12-10-2012,22.484285,22.692142,22.332144,22.489643
15-10-2012,22.583929,22.683214,22.280357,22.67
16-10-2012,22.691786,23.225,22.535713,23.206785
17-10-2012,23.173929,23.313929,23,23.021786
18-10-2012,22.842501,22.930714,22.5,22.594286
19-10-2012,22.5375,22.563213,21.772142,21.780001
22-10-2012,21.872143,22.692142,21.812857,22.643929
23-10-2012,22.535713,22.639286,21.84643,21.905714
24-10-2012,22.194286,22.376785,21.808571,22.029642
25-10-2012,22.142857,22.214287,21.626785,21.769285
26-10-2012,21.765356,21.928572,21.107143,21.571428
31-10-2012,21.245714,21.498571,20.989286,21.261429
01-11-2012,21.365,21.535713,21.220358,21.305
02-11-2012,21.281786,21.319643,20.526787,20.6
05-11-2012,20.84,20.991785,20.628571,20.879286
06-11-2012,21.079643,21.097857,20.717501,20.816071
07-11-2012,20.494286,20.519285,19.848213,19.928572
08-11-2012,20.022499,20.079643,19.1175,19.205357
09-11-2012,19.300714,19.817142,19.061428,19.537857
12-11-2012,19.791071,19.803572,19.237499,19.386786
13-11-2012,19.246786,19.66,19.155714,19.389286
14-11-2012,19.482143,19.551786,19.149286,19.174286
15-11-2012,19.1975,19.267857,18.665001,18.772142
16-11-2012,18.757143,18.928572,18.0625,18.845715
19-11-2012,19.311071,20.267857,19.281429,20.204643
20-11-2012,20.425358,20.426786,19.806429,20.032499
21-11-2012,20.151787,20.263214,19.878571,20.060715
23-11-2012,20.256071,20.428572,20.092857,20.410713
26-11-2012,20.567858,21.071428,20.489643,21.054644
27-11-2012,21.055357,21.08643,20.717857,20.885
28-11-2012,20.616785,20.921429,20.437857,20.819286
29-11-2012,21.079287,21.223213,20.901787,21.048571
30-11-2012,20.956785,21.014286,20.809999,20.902857
03-12-2012,21.201786,21.235357,20.910713,20.935356
04-12-2012,20.77857,20.77857,20.433214,20.566071
05-12-2012,20.318214,20.330357,19.241785,19.2425
06-12-2012,18.890715,19.76107,18.522499,19.544287
07-12-2012,19.764286,19.828571,18.928572,19.044643
10-12-2012,18.75,19.2325,18.627857,18.922144
11-12-2012,19.2775,19.627144,19.191786,19.335358
12-12-2012,19.563213,19.571428,19.1525,19.25
13-12-2012,18.969643,19.201429,18.77857,18.9175
14-12-2012,18.383928,18.504642,18.056429,18.206785
17-12-2012,18.176071,18.571428,17.901072,18.529642
18-12-2012,18.75,19.103571,18.580357,19.067858
19-12-2012,18.981071,19.060715,18.767857,18.796785
20-12-2012,18.928572,18.935715,18.531429,18.633215
21-12-2012,18.3025,18.559643,18.222857,18.547501
24-12-2012,18.583929,18.723213,18.525356,18.577499
26-12-2012,18.535713,18.552143,18.254286,18.321428
27-12-2012,18.340714,18.4375,18.023571,18.395
28-12-2012,18.224644,18.374287,18.147142,18.199642
31-12-2012,18.233213,19.121429,18.178572,19.006071
02-01-2013,19.779285,19.821428,19.343929,19.608213
03-01-2013,19.567142,19.631071,19.321428,19.360714
04-01-2013,19.1775,19.236786,18.779642,18.821428
07-01-2013,18.642857,18.90357,18.4,18.710714
08-01-2013,18.900356,18.996071,18.616072,18.76107
09-01-2013,18.660713,18.750357,18.428213,18.467857
10-01-2013,18.876785,18.882856,18.411428,18.696787
11-01-2013,18.607143,18.761429,18.536428,18.582144
14-01-2013,17.952856,18.125,17.803928,17.919643
15-01-2013,17.796429,17.821072,17.263571,17.354286
16-01-2013,17.665714,18.194286,17.589287,18.074642
17-01-2013,18.225357,18.241072,17.929644,17.952856
18-01-2013,17.804285,17.936428,17.728571,17.857143
22-01-2013,18.02,18.138571,17.736786,18.0275
23-01-2013,18.171785,18.3925,18.0275,18.3575
24-01-2013,16.428572,16.633215,16.080357,16.089287
25-01-2013,16.131786,16.293928,15.535714,15.71
28-01-2013,15.636786,16.186071,15.566429,16.065357
29-01-2013,16.375,16.435715,16.147142,16.366785
30-01-2013,16.321428,16.521429,16.232143,16.315357
31-01-2013,16.320715,16.402857,16.249287,16.2675
01-02-2013,16.396786,16.41,16.012501,16.200714
04-02-2013,16.211071,16.283571,15.785714,15.797143
05-02-2013,15.858929,16.419287,15.793571,16.351429
06-02-2013,16.3025,16.660713,16.16357,16.333929
07-02-2013,16.544643,16.785713,16.218571,16.722143
08-02-2013,16.928572,17.100357,16.723213,16.963572
11-02-2013,17.017857,17.319286,16.901787,17.140356
12-02-2013,17.125357,17.227858,16.705,16.710714
13-02-2013,16.686071,16.915714,16.543571,16.678928
14-02-2013,16.59,16.844286,16.572144,16.663929
15-02-2013,16.744642,16.79143,16.425714,16.434286
19-02-2013,16.467857,16.526072,16.208929,16.428213
20-02-2013,16.346071,16.346071,16.02857,16.030357
21-02-2013,15.928571,16.041786,15.815,15.930714
22-02-2013,16.044643,16.128571,15.95,16.100357
25-02-2013,16.208929,16.254286,15.806071,15.814286
26-02-2013,15.850714,16.126429,15.630714,16.034643
27-02-2013,16.015356,16.158571,15.7375,15.8775
28-02-2013,15.858929,15.995357,15.764286,15.764286
01-03-2013,15.642857,15.649286,15.356429,15.373929
04-03-2013,15.278571,15.292857,14.964286,15.001786
05-03-2013,15.052857,15.5425,15.026786,15.397857
06-03-2013,15.518214,15.544643,15.158214,15.202143
07-03-2013,15.160714,15.428929,15.037857,15.377857
08-03-2013,15.35,15.551071,15.3075,15.418571
11-03-2013,15.348214,15.678929,15.183571,15.638214
12-03-2013,15.557143,15.674286,15.270357,15.301071
13-03-2013,15.301786,15.517857,15.191429,15.298214
14-03-2013,15.458214,15.522857,15.373214,15.446429
15-03-2013,15.640357,15.865357,15.616071,15.845
18-03-2013,15.766071,16.337856,15.757143,16.275715
19-03-2013,16.410713,16.463215,16.017857,16.231787
20-03-2013,16.33643,16.343929,16.056786,16.145714
21-03-2013,16.079287,16.356428,16.075001,16.168928
22-03-2013,16.235001,16.503571,16.182501,16.496786
25-03-2013,16.596071,16.78393,16.492144,16.556429
26-03-2013,16.622856,16.637142,16.4475,16.469286
27-03-2013,16.302143,16.314285,16.0975,16.145714
28-03-2013,16.065001,16.136429,15.772143,15.809286
01-04-2013,15.782143,15.846429,15.276429,15.318214
02-04-2013,15.271429,15.647857,15.228571,15.349643
03-04-2013,15.406071,15.617143,15.368214,15.428214
04-04-2013,15.491429,15.535714,15.1875,15.275714
